party,id,committee,session,last,first,other,new_id
1,10716,102,103,de la Garza,E.,(Kika),1
1,10573,102,103,Brown,George,E.,2
1,14048,102,103,Rose,Charlie,NA,3
1,14219,102,103,English,Glenn,L.,4
1,14444,102,103,Panetta,Leon,E.,5
1,14422,102,103,Glickman,Daniel,R.,6
1,14664,102,103,Stenholm,Charles,W.,7
1,14459,102,103,Volkmer,Harold,L.,8
1,15052,102,103,Penny,Timothy,J.,9
1,15425,102,103,Johnson,Tim,NA,10
1,15411,102,103,Espy,Mike,NA,11
1,15623,102,103,Sarpalius,Bill,NA,12
1,15631,102,103,Long,Jill,L.,13
1,15635,102,103,Condit,Gary,NA,14
1,29127,102,103,Peterson,Collin,C.,15
1,29105,102,103,Dooley,Calvin,M.,16
1,29382,102,103,Clayton,Eva,M.,17
1,29366,102,103,Minge,David,NA,18
1,29302,102,103,Hilliard,Earl,F.,19
1,29937,102,103,Inslee,Jay,NA,20
1,29351,102,103,Barlow,Tom,NA,21
1,29384,102,103,Pomeroy,Earl,NA,22
1,29396,102,103,Holden,Tim,NA,23
1,29344,102,103,McKinney,Cynthia,A.,24
1,29353,102,103,Baesler,Scotty,NA,25
1,29330,102,103,Thurman,Karen,L.,26
1,29339,102,103,Bishop,Sanford,D.,27
2,14852,102,103,Roberts,Pat,NA,28
2,14819,102,103,Emerson,Bill,NA,29
2,14827,102,103,Gunderson,Steven,NA,30
2,15035,102,103,Lewis,Tom,NA,31
2,15063,102,103,Smith,Robert,F.,32
2,15093,102,103,Combest,Larry,NA,33
2,29124,102,103,Camp,Dave,NA,34
2,29108,102,103,Allard,Wayne,R.,35
2,29129,102,103,Barrett,Bill,NA,36
2,29118,102,103,Nussle,Jim,NA,37
2,29137,102,103,Boehner,John,A.,38
2,29115,102,103,Ewing,Thomas,W.,39
2,29104,102,103,Doolittle,John,T.,40
2,29338,102,103,Kingston,Jack,NA,41
2,39308,102,103,Goodlatte,Robert,W.,42
2,29307,102,103,Dickey,Jay,NA,43
2,29311,102,103,Pombo,Richard,W.,44
2,29332,102,103,Canady,Charles,T.,45
1,29368,102,103,Thompson,Bennie,NA,46
1,29313,102,103,Farr,Sam,NA,47
2,29393,102,103,Lucas,Frank,D.,48
2,29352,102,103,Lewis,Ron,NA,49
1,14672,102,103,Williams,Pat,NA,50
1,29305,102,103,Lambert,Blanche,NA,51
2,29364,102,103,Smith,Nick,NA,52
2,29300,102,103,Everett,Terry,NA,53
1,6845,104,103,Natcher,William,H.,54
1,10075,104,103,Whitten,Jamie,L.,55
1,8672,104,103,Smith,Neal,NA,56
1,10421,104,103,Yates,Sidney,R.,57
1,12036,104,103,Obey,David,R.,58
1,12030,104,103,Stokes,Louis,NA,59
1,11000,104,103,Bevill,Tom,NA,60
1,14072,104,103,Murtha,John,P.,61
1,14062,104,103,Wilson,Charles,NA,62
1,14413,104,103,Dicks,Norman,D.,63
1,14656,104,103,Sabo,Martin,Olav,64
1,14620,104,103,Dixon,Julian,C.,65
1,14624,104,103,Fazio,Victor,H.,66
1,14233,104,103,Hefner,W.G.,(Bill),67
1,14873,104,103,Hoyer,Steny,H.,68
1,14210,104,103,Carr,M.,Robert,69
1,15021,104,103,Durbin,Richard,J.,70
1,15018,104,103,Coleman,Ronald,D.,71
1,15083,104,103,Mollohan,Alan,B.,72
1,15129,104,103,Chapman,Jim,NA,73
1,15029,104,103,Kaptur,Marcy,NA,74
1,15443,104,103,Skaggs,David,E.,75
1,15438,104,103,Price,David,E.,76
1,15448,104,103,Pelosi,Nancy,NA,77
1,15124,104,103,Visclosky,Peter,J.,78
1,14823,104,103,Foglietta,Thomas,M.,79
1,15070,104,103,Torres,Esteban,Edward,80
1,15081,104,103,Darden,George,W.,81
1,15612,104,103,Lowey,Nita,M.,82
1,29102,104,103,Thornton,Raymond,H.,83
1,29134,104,103,Serrano,Jose,E.,84
1,29109,104,103,DeLauro,Rosa,NA,85
1,29149,104,103,Moran,James,P.,86
1,29111,104,103,Peterson,Pete,NA,87
1,29123,104,103,Olver,John,W.,88
1,29101,104,103,Pastor,Ed,NA,89
