Congress,Committee code,ID #,Name,Maj/Min,Rank Within Party Status,Party,Date of Assignment,Date of Termination,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State,CD,State Name,Notes,
103,102,10716,"de la Garza, E. (Kika)",1,1,100,1/5/93,1/3/95,11,15,2,1,1,,AGRICULTURE,,,,,
103,102,10573,"Brown, George E., Jr.",1,2,100,1/5/93,1/3/95,0,11,2,1,1,,AGRICULTURE,,,,,
103,102,14048,"Rose, Charlie",1,3,100,1/5/93,1/3/95,0,11,2,1,1,,AGRICULTURE,,,,,
103,102,14219,"English, Glenn L.",1,4,100,1/5/93,1/7/94,0,10,2,8,0,,AGRICULTURE,,,,,
103,102,14444,"Panetta, Leon E.",1,5,100,1/5/93,1/21/93,0,9,2,6,0,,AGRICULTURE,,,,,
103,102,14422,"Glickman, Daniel R.",1,6,100,1/5/93,1/3/95,0,9,2,1,0,,AGRICULTURE,,,,,
103,102,14664,"Stenholm, Charles W.",1,7,100,1/5/93,1/3/95,0,8,2,1,1,,AGRICULTURE,,,,,
103,102,14459,"Volkmer, Harold L.",1,8,100,1/5/93,1/3/95,0,7,2,1,1,,AGRICULTURE,,,,,
103,102,15052,"Penny, Timothy J.",1,9,100,1/5/93,1/3/95,0,6,2,1,0,,AGRICULTURE,,,,,
103,102,15425,"Johnson, Tim",1,10,100,1/5/93,1/3/95,0,4,2,1,1,,AGRICULTURE,,,,,
103,102,15411,"Espy, Mike",1,11,100,1/5/93,1/22/93,0,4,2,6,0,,AGRICULTURE,,,,Appointed Secretary of Agriculture,
103,102,15623,"Sarpalius, Bill",1,12,100,1/5/93,1/3/95,0,3,2,1,0,,AGRICULTURE,,,,,
103,102,15631,"Long, Jill L.",1,13,100,1/5/93,1/3/95,0,3,2,1,0,,AGRICULTURE,,,,,
103,102,15635,"Condit, Gary",1,14,100,1/5/93,1/3/95,0,3,2,1,1,,AGRICULTURE,,,,,
103,102,29127,"Peterson, Collin C.",1,15,100,1/5/93,1/3/95,0,2,2,1,1,,AGRICULTURE,,,,,
103,102,29105,"Dooley, Calvin M.",1,16,100,1/5/93,1/3/95,0,2,2,1,1,,AGRICULTURE,,,,,
103,102,29382,"Clayton, Eva M.",1,17,100,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29366,"Minge, David",1,18,100,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29302,"Hilliard, Earl F.",1,19,100,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29937,"Inslee, Jay",1,20,100,1/5/93,1/3/95,0,1,2,1,0,,AGRICULTURE,,,,,
103,102,29351,"Barlow, Tom",1,21,100,1/5/93,1/3/95,0,1,2,1,0,,AGRICULTURE,,,,,
103,102,29384,"Pomeroy, Earl",1,22,100,1/5/93,1/3/95,0,1,3,1,1,,AGRICULTURE,,,,,
103,102,29396,"Holden, Tim",1,23,100,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29344,"McKinney, Cynthia A.",1,24,100,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29353,"Baesler, Scotty",1,25,100,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29330,"Thurman, Karen L.",1,26,100,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29339,"Bishop, Sanford D., Jr.",1,27,100,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,14852,"Roberts, Pat",2,1,200,1/5/93,1/3/95,21,7,2,1,1,,AGRICULTURE,,,,,
103,102,14819,"Emerson, Bill",2,2,200,1/5/93,1/3/95,0,7,2,1,1,,AGRICULTURE,,,,,
103,102,14827,"Gunderson, Steven",2,3,200,1/5/93,1/3/95,0,7,2,1,1,,AGRICULTURE,,,,,
103,102,15035,"Lewis, Tom",2,4,200,1/5/93,1/3/95,0,5,2,1,0,,AGRICULTURE,,,,,
103,102,15063,"Smith, Robert F. (Bob)",2,5,200,1/5/93,1/3/95,0,5,3,1,0,,AGRICULTURE,,,,,
103,102,15093,"Combest, Larry",2,6,200,1/5/93,1/3/95,0,5,2,1,1,,AGRICULTURE,,,,,
103,102,29124,"Camp, Dave",2,7,200,1/5/93,2/4/93,0,2,2,2,2,,AGRICULTURE,,,,Transferred to Agriculture and Small Business,
103,102,29108,"Allard, Wayne R.",2,8,200,1/5/93,1/3/95,0,2,2,1,1,,AGRICULTURE,,,,,
103,102,29129,"Barrett, Bill",2,9,200,1/5/93,1/3/95,0,2,2,1,1,,AGRICULTURE,,,,,
103,102,29118,"Nussle, Jim",2,10,200,1/5/93,1/3/95,0,2,2,1,2,,AGRICULTURE,,,,,
103,102,29137,"Boehner, John A.",2,11,200,1/5/93,1/3/95,0,2,2,1,1,,AGRICULTURE,,,,,
103,102,29115,"Ewing, Thomas W.",2,12,200,1/5/93,1/3/95,0,2,2,1,1,,AGRICULTURE,,,,,
103,102,29104,"Doolittle, John T.",2,13,200,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29338,"Kingston, Jack",2,14,200,1/5/93,1/3/95,0,1,3,1,2,,AGRICULTURE,,,,,
103,102,39308,"Goodlatte, Robert W.",2,15,200,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29307,"Dickey, Jay",2,16,200,1/5/93,1/3/95,0,1,2,1,2,,AGRICULTURE,,,,,
103,102,29311,"Pombo, Richard W.",2,17,200,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29332,"Canady, Charles T.",2,18,200,1/5/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29368,"Thompson, Bennie",4,28,100,4/29/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29313,"Farr, Sam",4,29,100,6/23/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29393,"Lucas, Frank D.",5,19,200,5/25/94,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29352,"Lewis, Ron",5,20,200,6/15/94,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,14672,"Williams, Pat",6,1,100,2/4/93,1/3/95,0,1,2,1,2,,AGRICULTURE,,,,,
103,102,29305,"Lambert, Blanche",6,2,100,2/4/93,1/3/95,0,1,2,1,2,,AGRICULTURE,,,,,
103,102,29364,"Smith, Nick",7,1,200,5/27/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,102,29300,"Everett, Terry",7,2,200,5/27/93,1/3/95,0,1,2,1,1,,AGRICULTURE,,,,,
103,104,6845,"Natcher, William H.",1,1,100,1/5/93,3/29/94,12,20,2,5,0,,APPROPRIATIONS,,,,,
103,104,10075,"Whitten, Jamie L.",1,2,100,1/5/93,1/3/95,0,26,2,1,0,,APPROPRIATIONS,,,,,
103,104,8672,"Smith, Neal",1,3,100,1/5/93,1/3/95,0,17,2,1,0,,APPROPRIATIONS,,,,,
103,104,10421,"Yates, Sidney R.",1,4,100,1/5/93,1/3/95,0,15,4,1,1,,APPROPRIATIONS,,,,,
103,104,12036,"Obey, David R.",1,5,100,1/5/93,1/3/95,13,13,2,1,1,,APPROPRIATIONS,,,,"Named associate chairman 3/23/1994 by H. Res. 396.  Upon Natcher's death Obey was automatically elevated to chair 3/29/1994 (Jacoby, Roll Call April 11, 1994).  ""Officially"" elected to chair 4/12/94 by H. Res. 399.",
103,104,12030,"Stokes, Louis",1,6,100,1/5/93,1/3/95,0,12,2,1,1,,APPROPRIATIONS,,,,,
103,104,11000,"Bevill, Tom",1,7,100,1/5/93,1/3/95,0,12,2,1,1,,APPROPRIATIONS,,,,,
103,104,14072,"Murtha, John P., Jr.",1,8,100,1/5/93,1/3/95,0,10,2,1,1,,APPROPRIATIONS,,,,,
103,104,14062,"Wilson, Charles",1,9,100,1/5/93,1/3/95,0,10,2,1,1,,APPROPRIATIONS,,,,,
103,104,14413,"Dicks, Norman D.",1,10,100,1/5/93,1/3/95,0,9,2,1,1,,APPROPRIATIONS,,,,,
103,104,14656,"Sabo, Martin Olav",1,11,100,1/5/93,1/3/95,0,8,2,1,1,,APPROPRIATIONS,,,,,
103,104,14620,"Dixon, Julian C.",1,12,100,1/5/93,1/3/95,0,8,2,1,1,,APPROPRIATIONS,,,,,
103,104,14624,"Fazio, Victor H.",1,13,100,1/5/93,1/3/95,0,8,2,1,1,,APPROPRIATIONS,,,,,
103,104,14233,"Hefner, W.G. (Bill)",1,14,100,1/5/93,1/3/95,0,8,2,1,1,,APPROPRIATIONS,,,,,
103,104,14873,"Hoyer, Steny H.",1,15,100,1/5/93,1/3/95,0,7,2,1,1,,APPROPRIATIONS,,,,,
103,104,14210,"Carr, M. Robert",1,16,100,1/5/93,1/3/95,0,6,2,1,0,,APPROPRIATIONS,,,,,
103,104,15021,"Durbin, Richard J.",1,17,100,1/5/93,1/3/95,0,5,2,1,1,,APPROPRIATIONS,,,,,
103,104,15018,"Coleman, Ronald D.",1,18,100,1/5/93,1/3/95,0,5,2,1,1,,APPROPRIATIONS,,,,,
103,104,15083,"Mollohan, Alan B.",1,19,100,1/5/93,1/3/95,0,5,2,1,1,,APPROPRIATIONS,,,,,
103,104,15129,"Chapman, Jim",1,20,100,1/5/93,1/3/95,0,3,2,1,1,,APPROPRIATIONS,,,,,
103,104,15029,"Kaptur, Marcy",1,21,100,1/5/93,1/3/95,0,3,2,1,1,,APPROPRIATIONS,,,,,
103,104,15443,"Skaggs, David E.",1,22,100,1/5/93,1/3/95,0,2,2,1,1,,APPROPRIATIONS,,,,,
103,104,15438,"Price, David E.",1,23,100,1/5/93,1/3/95,0,2,3,1,0,,APPROPRIATIONS,,,,,
103,104,15448,"Pelosi, Nancy",1,24,100,1/5/93,1/3/95,0,2,2,1,1,,APPROPRIATIONS,,,,,
103,104,15124,"Visclosky, Peter J.",1,25,100,1/5/93,1/3/95,0,2,2,1,1,,APPROPRIATIONS,,,,,
103,104,14823,"Foglietta, Thomas M.",1,26,100,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,15070,"Torres, Esteban Edward",1,27,100,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,15081,"Darden, George W. (Buddy)",1,28,100,1/5/93,1/3/95,0,1,2,1,0,,APPROPRIATIONS,,,,,
103,104,15612,"Lowey, Nita M.",1,29,100,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,29102,"Thornton, Raymond H., Jr.",1,30,100,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,29134,"Serrano, Jose E.",1,31,100,1/5/93,1/3/95,0,1,3,1,1,,APPROPRIATIONS,,,,,
103,104,29109,"DeLauro, Rosa",1,32,100,1/5/93,1/3/95,0,1,3,1,2,,APPROPRIATIONS,,,,,
103,104,29149,"Moran, James P., Jr.",1,33,100,1/5/93,1/3/95,0,1,3,1,2,,APPROPRIATIONS,,,,,
103,104,29111,"Peterson, Pete",1,34,100,1/5/93,1/3/95,0,1,2,1,2,,APPROPRIATIONS,,,,,
103,104,29123,"Olver, John W.",1,35,100,1/5/93,1/3/95,0,1,3,1,2,,APPROPRIATIONS,,,,,
103,104,29101,"Pastor, Ed",1,36,100,1/5/93,1/3/95,0,1,3,1,2,,APPROPRIATIONS,,,,,
103,104,29334,"Meek, Carrie",1,37,100,1/5/93,1/3/95,0,1,3,1,2,,APPROPRIATIONS,,,,,
103,104,10607,"McDade, Joseph M.",2,1,200,1/5/93,1/3/95,21,15,2,1,1,,APPROPRIATIONS,,,,,
103,104,11036,"Myers, John T.",2,2,200,1/5/93,1/3/95,0,12,2,1,1,,APPROPRIATIONS,,,,,
103,104,13047,"Young, C.W. Bill",2,3,200,1/5/93,1/3/95,0,11,2,1,1,,APPROPRIATIONS,,,,,
103,104,14045,"Regula, Ralph S.",2,4,200,1/5/93,1/3/95,0,10,2,1,1,,APPROPRIATIONS,,,,,
103,104,14469,"Livingston, Robert L.",2,5,200,1/5/93,1/3/95,0,7,2,1,1,,APPROPRIATIONS,,,,,
103,104,14644,"Lewis, Jerry",2,6,200,1/5/93,1/3/95,0,7,2,1,1,,APPROPRIATIONS,,,,,
103,104,14677,"Porter, John Edward",2,7,200,1/5/93,1/3/95,0,7,2,1,1,,APPROPRIATIONS,,,,,
103,104,14854,"Rogers, Harold",2,8,200,1/5/93,1/3/95,0,6,2,1,1,,APPROPRIATIONS,,,,,
103,104,14861,"Skeen, Joe",2,9,200,1/5/93,1/3/95,0,5,2,1,1,,APPROPRIATIONS,,,,,
103,104,14869,"Wolf, Frank R.",2,10,200,1/5/93,1/3/95,0,5,2,1,1,,APPROPRIATIONS,,,,,
103,104,15094,"DeLay, Tom",2,11,200,1/5/93,1/3/95,0,4,3,1,1,,APPROPRIATIONS,,,,,
103,104,15105,"Kolbe, Jim",2,12,200,1/5/93,1/3/95,0,4,2,1,1,,APPROPRIATIONS,,,,,
103,104,15099,"Gallo, Dean A.",2,13,200,1/5/93,11/6/94,0,3,2,5,0,,APPROPRIATIONS,,,,,
103,104,15075,"Vucanovich, Barbara F.",2,14,200,1/5/93,1/3/95,0,2,2,1,1,,APPROPRIATIONS,,,,,
103,104,15106,"Lightfoot, Jim Ross",2,15,200,1/5/93,1/3/95,0,2,2,1,1,,APPROPRIATIONS,,,,,
103,104,15051,"Packard, Ron",2,16,200,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,15090,"Callahan, H.L. (Sonny)",2,17,200,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,15086,"Bentley, Helen Delich",2,18,200,1/5/93,1/3/95,0,1,2,1,0,,APPROPRIATIONS,,,,,
103,104,15630,"Walsh, James T.",2,19,200,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,29135,"Taylor, Charles H.",2,20,200,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,29136,"Hobson, David L.",2,21,200,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,39302,"Bonilla, Henry B.",2,22,200,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,104,29392,"Istook, Ernest J., Jr.",2,23,200,1/5/93,1/3/95,0,1,2,1,1,,APPROPRIATIONS,,,,,
103,106,13003,"Aspin, Les",1,1,100,1/5/93,1/20/93,12,12,2,6,0,,ARMED SERVICES,,,,Appointed Secretary of Defense,
103,106,11035,"Montgomery, G.V. (Sonny)",1,2,100,1/5/93,1/3/95,0,12,2,1,1,,ARMED SERVICES,,,,,
103,106,13011,"Dellums, Ronald V.",1,3,100,1/5/93,1/3/95,13,11,2,1,1,,ARMED SERVICES,,,,Dellums elevated to chair 1/27/1993.  H268,
103,106,14051,"Schroeder, Patricia S.",1,4,100,1/5/93,1/3/95,0,11,2,1,1,,ARMED SERVICES,,,,,
103,106,14636,"Hutto, Earl D.",1,5,100,1/5/93,1/3/95,0,8,2,1,0,,ARMED SERVICES,,,,,
103,106,14451,"Skelton, Ike",1,6,100,1/5/93,1/3/95,0,7,2,1,1,,ARMED SERVICES,,,,,
103,106,14843,"McCurdy, Dave",1,7,100,1/5/93,1/3/95,0,7,2,1,0,,ARMED SERVICES,,,,,
103,106,14251,"LLoyd, Marilyn",1,8,100,1/5/93,1/3/95,0,7,2,1,0,,ARMED SERVICES,,,,,
103,106,15060,"Sisisky, Norman",1,9,100,1/5/93,1/3/95,0,6,2,1,1,,ARMED SERVICES,,,,,
103,106,15064,"Spratt, John M., Jr.",1,10,100,1/5/93,1/3/95,0,6,2,1,1,,ARMED SERVICES,,,,,
103,106,15041,"McCloskey, Francis X.",1,11,100,1/5/93,1/3/95,0,6,2,1,0,,ARMED SERVICES,,,,,
103,106,15049,"Ortiz, Solomon P.",1,12,100,1/5/93,1/3/95,0,6,2,1,1,,ARMED SERVICES,,,,,
103,106,15421,"Hochbrueckner, George J.",1,13,100,1/5/93,1/3/95,0,4,2,1,0,,ARMED SERVICES,,,,,
103,106,15437,"Pickett, Owen B.",1,14,100,1/5/93,1/3/95,0,4,2,1,1,,ARMED SERVICES,,,,,
103,106,15430,"Lancaster, H. Martin",1,15,100,1/5/93,1/3/95,0,4,2,1,0,,ARMED SERVICES,,,,,
103,106,15023,"Evans, Lane",1,16,100,1/5/93,1/3/95,0,4,2,1,1,,ARMED SERVICES,,,,,
103,106,15403,"Bilbray, James H.",1,17,100,1/5/93,1/3/95,0,3,2,1,0,,ARMED SERVICES,,,,,
103,106,15628,"Tanner, John S.",1,18,100,1/5/93,1/3/95,0,3,2,1,1,,ARMED SERVICES,,,,,
103,106,15632,"Browder, Glen",1,19,100,1/5/93,1/3/95,0,3,2,1,1,,ARMED SERVICES,,,,,
103,106,15637,"Taylor, Gene",1,20,100,1/5/93,1/3/95,0,3,2,1,1,,ARMED SERVICES,,,,,
103,106,15245,"Abercrombie, Neil",1,21,100,1/5/93,1/3/95,0,2,4,1,1,,ARMED SERVICES,,,,,
103,106,29121,"Andrews, Thomas H.",1,22,100,1/5/93,1/3/95,0,2,2,1,0,,ARMED SERVICES,,,,,
103,106,29144,"Edwards, Chet",1,23,100,1/5/93,1/3/95,0,2,2,1,1,,ARMED SERVICES,,,,,
103,106,29343,"Johnson, Don",1,24,100,1/5/93,1/3/95,0,1,2,1,0,,ARMED SERVICES,,,,,
103,106,39303,"Tejeda, Frank",1,25,100,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29385,"Mann, David",1,26,100,1/5/93,1/3/95,0,1,2,1,0,,ARMED SERVICES,,,,,
103,106,29360,"Stupak, Bart",1,27,100,1/5/93,1/3/95,0,1,2,1,2,,ARMED SERVICES,,,,,
103,106,29358,"Meehan, Martin T.",1,28,100,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,70305,"Underwood, Robert A.",1,29,100,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29318,"Harman, Jane",1,30,100,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29399,"McHale, Paul",1,31,100,1/5/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,15636,"Geren, Pete",1,32,100,1/27/93,1/3/95,0,1,2,1,1,,ARMED SERVICES,,,,,
103,106,29394,"Furse, Elizabeth",1,33,100,1/27/93,1/3/95,0,1,2,1,2,,ARMED SERVICES,,,,,
103,106,13042,"Spence, Floyd D.",2,1,200,1/5/93,1/3/95,21,12,2,1,1,,ARMED SERVICES,,,,,
103,106,14454,"Stump, Robert",2,2,200,1/5/93,1/3/95,0,9,2,1,1,,ARMED SERVICES,,,,,
103,106,14835,"Hunter, Duncan L.",2,3,200,1/5/93,1/3/95,0,7,2,1,1,,ARMED SERVICES,,,,,
103,106,15030,"Kasich, John R.",2,4,200,1/5/93,1/3/95,0,6,2,1,1,,ARMED SERVICES,,,,,
103,106,15003,"Bateman, Herbert H.",2,5,200,1/5/93,1/3/95,0,5,2,1,1,,ARMED SERVICES,,,,,
103,106,14829,"Hansen, James V.",2,6,200,1/5/93,1/3/95,0,5,2,1,1,,ARMED SERVICES,,,,,
103,106,15447,"Weldon, Curt",2,7,200,1/5/93,1/3/95,0,4,2,1,1,,ARMED SERVICES,,,,,
