party,id,committee,session,last,first,other,new_id
1,14307,305,103,Leahy,Patrick,J.,1
1,10791,305,103,Pryor,David,NA,2
1,14700,305,103,Boren,David,L.,3
1,14705,305,103,Heflin,Howell,NA,4
1,14230,305,103,Harkin,Tom,NA,5
1,15502,305,103,Conrad,Kent,NA,6
1,14617,305,103,Daschle,Thomas,A.,7
1,14203,305,103,Baucus,Max,NA,8
1,15702,305,103,Kerrey,J.,Robert,9
1,49309,305,103,Feingold,Russel,D.,10
2,14506,305,103,Lugar,Richard,G.,11
2,10513,305,103,Dole,Robert,NA,12
2,14105,305,103,Helms,Jesse,NA,13
2,14009,305,103,Cochran,Thad,NA,14
2,14921,305,103,McConnell,Mitch,NA,15
2,14809,305,103,Craig,Larry,E.,16
2,49301,305,103,Coverdell,Paul,NA,17
2,14226,305,103,Grassley,Charles,E.,18
1,1366,306,103,Byrd,Robert,C.,19
1,4812,306,103,Inouye,Daniel,K.,20
1,11204,306,103,Hollings,Ernest,F.,21
1,14107,306,103,Johnston,J.,Bennet,22
1,14307,306,103,Leahy,Patrick,J.,1
1,14509,306,103,Sasser,Jim,NA,23
1,14502,306,103,DeConcini,Dennis,NA,24
1,14300,306,103,Bumpers,Dale,NA,25
1,14914,306,103,Lautenberg,Frank,R.,26
1,14230,306,103,Harkin,Tom,NA,5
1,14440,306,103,Mikulski,Barbara,A.,27
1,15054,306,103,Reid,Harry,NA,28
1,15702,306,103,Kerrey,J.,Robert,9
1,15703,306,103,Kohl,Herbert,H.,29
1,49308,306,103,Murray,Patty,NA,30
1,49300,306,103,Feinstein,Dianne,NA,31
2,11203,306,103,Hatfield,Mark,O.,32
2,12109,306,103,Stevens,Ted,NA,33
2,14009,306,103,Cochran,Thad,NA,14
2,14900,306,103,D'Amato,Alfonso,M.,34
2,14910,306,103,Specter,Arlen,NA,35
2,14103,306,103,Domenici,Pete,V.,36
2,14908,306,103,Nickles,Don,NA,37
2,14628,306,103,Gramm,Phil,NA,38
2,15501,306,103,Bond,Christopher,S.,39
2,14904,306,103,Gorton,Slade,NA,40
2,14921,306,103,McConnell,Mitch,NA,15
2,15037,306,103,Mack,Connie,NA,41
2,15701,306,103,Burns,Conrad,NA,42
1,14108,308,103,Nunn,Sam,NA,43
1,14704,308,103,Exon,J.,James,44
1,14709,308,103,Levin,Carl,NA,45
1,10808,308,103,Kennedy,Edward,M.,46
1,14912,308,103,Bingaman,Jeff,NA,47
1,14304,308,103,Glenn,John,NA,48
1,94659,308,103,Shelby,Richard,C.,49
1,1366,308,103,Byrd,Robert,C.,19
1,15503,308,103,Graham,Bob,NA,50
1,15705,308,103,Robb,Charles,S.,51
1,15704,308,103,Lieberman,Joseph,I.,52
2,9369,308,103,Thurmond,Strom,NA,53
2,14712,308,103,Warner,John,W.,54
2,14010,308,103,Cohen,William,S.,55
2,15039,308,103,McCain,John,NA,56
2,14031,308,103,Lott,Trent,NA,57
2,14806,308,103,Coats,Dan,NA,58
2,15116,308,103,Smith,Robert,C.,59
2,49302,308,103,Kempthorne,Dirk,NA,60
2,49304,308,103,Faircloth,Lauch,NA,61
2,49306,308,103,Hutchison,Kay,Bailey,62
1,11043,314,103,Riegle,Donald,W.,63
1,13039,314,103,Sarbanes,Paul,S.,64
1,14213,314,103,Dodd,Christopher,NA,65
1,14509,314,103,Sasser,Jim,NA,23
1,94659,314,103,Shelby,Richard,C.,49
1,14920,314,103,Kerry,John,F.,66
1,15700,314,103,Bryan,Richard,H.,67
1,15011,314,103,Boxer,Barbara,NA,68
1,15407,314,103,Campbell,Ben,Nighthorse,69
1,49303,314,103,Moseley-Braun,Carol,NA,70
1,49308,314,103,Murray,Patty,NA,30
2,14900,314,103,D'Amato,Alfonso,M.,34
2,14628,314,103,Gramm,Phil,NA,38
2,15501,314,103,Bond,Christopher,S.,39
2,15037,314,103,Mack,Connie,NA,41
2,49304,314,103,Faircloth,Lauch,NA,61
2,49307,314,103,Bennet,Robert,F.,71
2,11044,314,103,Roth,William,V.,72
2,14103,314,103,Domenici,Pete,V.,36
1,14509,316,103,Sasser,Jim,NA,23
1,11204,316,103,Hollings,Ernest,F.,21
1,14107,316,103,Johnston,J.,Bennet,22
1,11043,316,103,Riegle,Donald,W.,63
1,14704,316,103,Exon,J.,James,44
1,14914,316,103,Lautenberg,Frank,R.,26
1,14275,316,103,Simon,Paul,NA,73
1,15502,316,103,Conrad,Kent,NA,6
1,14213,316,103,Dodd,Christopher,NA,65
1,13039,316,103,Sarbanes,Paul,S.,64
1,15011,316,103,Boxer,Barbara,NA,68
1,49308,316,103,Murray,Patty,NA,30
2,14103,316,103,Domenici,Pete,V.,36
2,14226,316,103,Grassley,Charles,E.,18
2,14908,316,103,Nickles,Don,NA,37
2,14628,316,103,Gramm,Phil,NA,38
2,15501,316,103,Bond,Christopher,S.,39
2,14031,316,103,Lott,Trent,NA,57
2,14803,316,103,Brown,Hank,NA,74
2,14904,316,103,Gorton,Slade,NA,40
2,14826,316,103,Gregg,Judd,NA,75
1,11204,321,103,Hollings,Ernest,F.,21
1,4812,321,103,Inouye,Daniel,K.,20
1,14302,321,103,Ford,Wendell,H.,76
1,14704,321,103,Exon,J.,James,44
1,14922,321,103,Rockefeller,John,D.,77
1,660,321,103,Bentsen,Lloyd,M.,78
1,14920,321,103,Kerry,John,F.,66
1,13056,321,103,Breaux,John,B.,79
1,15700,321,103,Bryan,Richard,H.,67
1,15705,321,103,Robb,Charles,S.,51
1,14812,321,103,Dorgan,Byron,NA,80
2,14501,321,103,Danforth,John,C.,81
2,12107,321,103,Packwood,Bob,NA,82
2,14268,321,103,Pressler,Larry,NA,83
2,12109,321,103,Stevens,Ted,NA,33
2,15039,321,103,McCain,John,NA,56
2,15701,321,103,Burns,Conrad,NA,42
2,14904,321,103,Gorton,Slade,NA,40
2,14031,321,103,Lott,Trent,NA,57
2,14826,321,103,Gregg,Judd,NA,75
2,49306,321,103,Hutchison,Kay,Bailey,62
1,14247,321,103,Krueger,Bob,NA,84
1,14107,330,103,Johnston,J.,Bennet,22
1,14300,330,103,Bumpers,Dale,NA,25
1,14302,330,103,Ford,Wendell,H.,76
1,14702,330,103,Bradley,Bill,NA,85
1,14912,330,103,Bingaman,Jeff,NA,47
1,15502,330,103,Conrad,Kent,NA,6
1,14400,330,103,Akaka,Daniel,K.,86
1,94659,330,103,Shelby,Richard,C.,49
1,49101,330,103,Wellstone,Paul,David,87
1,15407,330,103,Campbell,Ben,Nighthorse,69
1,49305,330,103,Mathews,Harlan,NA,88
2,14511,330,103,Wallop,Malcolm,NA,89
2,11203,330,103,Hatfield,Mark,O.,32
2,14103,330,103,Domenici,Pete,V.,36
2,14907,330,103,Murkowski,Frank,H.,90
2,14908,330,103,Nickles,Don,NA,37
2,14809,330,103,Craig,Larry,E.,16
2,49307,330,103,Bennet,Robert,F.,71
2,14910,330,103,Specter,Arlen,NA,35
2,14031,330,103,Lott,Trent,NA,57
1,14247,330,103,Krueger,Bob,NA,84
1,14508,332,103,Moynihan,Daniel,P.,91
1,14713,332,103,Mitchell,George,J.,92
1,14203,332,103,Baucus,Max,NA,8
1,14914,332,103,Lautenberg,Frank,R.,26
1,15054,332,103,Reid,Harry,NA,28
1,15503,332,103,Graham,Bob,NA,50
1,15704,332,103,Lieberman,Joseph,I.,52
1,14073,332,103,Metzenbaum,Howard,M.,93
1,49104,332,103,Wofford,Harris,NA,94
1,15011,332,103,Boxer,Barbara,NA,68
2,14500,332,103,Chafee,John,H.,95
2,14710,332,103,Simpson,Alan,K.,96
2,14703,332,103,Durenberger,Dave,NA,97
2,14712,332,103,Warner,John,W.,54
2,15116,332,103,Smith,Robert,C.,59
2,49304,332,103,Faircloth,Lauch,NA,61
2,49302,332,103,Kempthorne,Dirk,NA,60
1,660,336,103,Bentsen,Lloyd,M.,78
1,14508,336,103,Moynihan,Daniel,P.,91
1,14203,336,103,Baucus,Max,NA,8
1,14700,336,103,Boren,David,L.,3
1,14702,336,103,Bradley,Bill,NA,85
1,14713,336,103,Mitchell,George,J.,92
1,10791,336,103,Pryor,David,NA,2
1,11043,336,103,Riegle,Donald,W.,63
1,14922,336,103,Rockefeller,John,D.,77
1,14617,336,103,Daschle,Thomas,A.,7
1,13056,336,103,Breaux,John,B.,79
2,12107,336,103,Packwood,Bob,NA,82
2,10513,336,103,Dole,Robert,NA,12
2,11044,336,103,Roth,William,V.,72
2,14501,336,103,Danforth,John,C.,81
2,14500,336,103,Chafee,John,H.,95
2,14703,336,103,Durenberger,Dave,NA,97
2,14226,336,103,Grassley,Charles,E.,18
2,14503,336,103,Hatch,Orrin,G.,98
2,14511,336,103,Wallop,Malcolm,NA,89
1,15502,336,103,Conrad,Kent,NA,6
1,10818,338,103,Pell,Claiborne,NA,99
1,14101,338,103,Biden,Joseph,R.,100
1,13039,338,103,Sarbanes,Paul,S.,64
1,14213,338,103,Dodd,Christopher,NA,65
1,14920,338,103,Kerry,John,F.,66
1,14275,338,103,Simon,Paul,NA,73
1,14508,338,103,Moynihan,Daniel,P.,91
1,15705,338,103,Robb,Charles,S.,51
1,49104,338,103,Wofford,Harris,NA,94
1,49309,338,103,Feingold,Russel,D.,10
1,49305,338,103,Mathews,Harlan,NA,88
2,14105,338,103,Helms,Jesse,NA,13
2,14506,338,103,Lugar,Richard,G.,11
2,14708,338,103,Kassebaum,Nancy,Landon,101
2,14268,338,103,Pressler,Larry,NA,83
2,14907,338,103,Murkowski,Frank,H.,90
2,14803,338,103,Brown,Hank,NA,74
2,14240,338,103,Jeffords,James,M.,102
2,49301,338,103,Coverdell,Paul,NA,17
2,49306,338,103,Hutchison,Kay,Bailey,62
1,14304,344,103,Glenn,John,NA,48
1,14108,344,103,Nunn,Sam,NA,43
1,14709,344,103,Levin,Carl,NA,45
1,14509,344,103,Sasser,Jim,NA,23
1,10791,344,103,Pryor,David,NA,2
1,15704,344,103,Lieberman,Joseph,I.,52
1,14400,344,103,Akaka,Daniel,K.,86
1,14812,344,103,Dorgan,Byron,NA,80
