Congress,Committee Code,ID #,Name,Maj/Min,Rank Within Party,Party Code,Date of Appointment,Date of Termination,,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State Code,District,State Name,Notes,,,,
103,305,14307,"Leahy, Patrick J.",1,1,100,1/7/93,1/3/95,,11,19,2,1,1,S. Res. 5,"Agriculture, Nutrition, and Forestry",6,83,VT,,,,,
103,305,10791,"Pryor, David",1,2,100,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 5,"Agriculture, Nutrition, and Forestry",42,82,AR,,,,,
103,305,14700,"Boren, David L.",1,3,100,1/7/93,10/15/94,,0,15,2,8,0,S. Res. 5,"Agriculture, Nutrition, and Forestry",53,82,OK,,,,,
103,305,14705,"Heflin, Howell",1,4,100,1/7/93,1/3/95,,0,13,2,1,1,S. Res. 5,"Agriculture, Nutrition, and Forestry",41,82,AL,,,,,
103,305,14230,"Harkin, Tom",1,5,100,1/7/93,1/3/95,,0,8,2,1,1,S. Res. 5,"Agriculture, Nutrition, and Forestry",31,82,IA,,,,,
103,305,15502,"Conrad, Kent",1,6,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,"Agriculture, Nutrition, and Forestry",36,81,ND,,,,,
103,305,14617,"Daschle, Thomas A.",1,7,100,1/7/93,1/3/95,,0,7,2,1,1,S. Res. 5,"Agriculture, Nutrition, and Forestry",37,83,SD,,,,,
103,305,14203,"Baucus, Max",1,8,100,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 5,"Agriculture, Nutrition, and Forestry",64,82,MT,,,,,
103,305,15702,"Kerrey, J. Robert",1,9,100,1/7/93,1/3/95,,0,5,2,1,1,S. Res. 5,"Agriculture, Nutrition, and Forestry",35,81,NE,,,,,
103,305,49309,"Feingold, Russel D.",1,10,100,1/7/93,1/3/95,,0,1,2,1,2,S. Res. 5,"Agriculture, Nutrition, and Forestry",25,83,WI,,,,,
103,305,14506,"Lugar, Richard G.",2,1,200,1/7/93,1/3/95,,21,17,2,1,1,S. Res. 7,"Agriculture, Nutrition, and Forestry",22,81,IN,,,,,
103,305,10513,"Dole, Robert",2,2,200,1/7/93,1/3/95,,0,25,2,1,1,S. Res. 7,"Agriculture, Nutrition, and Forestry",32,83,KS,,,,,
103,305,14105,"Helms, Jesse",2,3,200,1/7/93,1/3/95,,0,21,2,1,1,S. Res. 7,"Agriculture, Nutrition, and Forestry",47,82,NC,,,,,
103,305,14009,"Cochran, Thad",2,4,200,1/7/93,1/3/95,,0,15,2,1,1,S. Res. 7,"Agriculture, Nutrition, and Forestry",46,82,MS,,,,,
103,305,14921,"McConnell, Mitch",2,5,200,1/7/93,1/3/95,,0,8,2,1,1,S. Res. 7,"Agriculture, Nutrition, and Forestry",51,82,KY,,,,,
