new_id	original_id
1	1558
2	1567
3	1560
4	1570
5	1574
6	1632
7	1818
8	1866
9	1673
10	1698
11	1819
12	1836
13	1741
14	1820
15	1809
16	1822
17	1564
18	1768
19	1783
20	1802
21	1805
22	1831
23	1503
24	1545
25	1757
26	1760
27	1459
28	1516
29	1617
30	1641
31	1761
32	1452
33	1498
34	1520
35	1468
36	1502
37	1522
38	1539
39	1643
40	1648
41	1752
42	1778
43	1766
44	1770
45	1767
46	1787
47	1774
48	1477
49	1483
50	1457
51	1479
52	1606
53	1616
54	1613
55	1628
56	1723
57	1792
58	1451
59	1493
60	1495
61	1458
62	1461
63	1835
64	1453
65	1711
66	1759
67	1782
68	1801
69	1772
70	1775
71	1562
72	1748
73	1911
74	1603
75	1501
76	1857
77	1609
78	1439
79	1486
80	1594
81	1745
82	1428
83	1471
84	1563
85	1592
86	1625
87	1847
88	1430
89	1482
90	1435
91	1489
92	1585
93	1824
94	1630
95	1821
96	1803
97	1427
98	1465
99	1431
100	1578
101	1697
102	1765
103	1426
104	1429
105	1852
106	1604
107	1913
108	1902
109	1919
110	1888
111	1916
112	1922
113	1917
114	1895
115	1807
116	1880
117	1885
118	1714
119	1763
120	1695
121	1920
122	1892
123	1500
124	1663
125	1684
126	1548
127	1549
128	1815
129	1682
130	1687
131	1653
132	1907
133	1656
134	1670
135	1681
136	1666
137	1674
138	1705
139	1524
140	1675
141	1680
142	1908
143	1504
144	1837
145	1661
146	1696
147	1688
148	1843
149	1532
150	1533
151	1525
152	1865
153	1480
154	1906
155	1649
156	1546
157	1665
158	1912
159	1475
160	1800
161	1434
162	1538
163	1859
164	1727
165	1735
166	1795
167	1909
168	1441
169	1746
170	1838
171	1437
172	1443
173	1780
174	1722
175	1737
176	1738
177	1579
178	1511
179	1719
180	1797
181	1668
182	1764
183	1796
184	1700
185	1798
186	1552
187	1580
188	1712
189	1753
190	1685
191	1707
192	1720
193	1731
194	1555
195	1779
196	1519
197	1528
198	1572
199	1833
200	1551
201	1650
202	1713
203	1854
204	1702
205	1889
206	1863
207	1704
208	1749
209	1898
210	1664
211	1855
212	1883
213	1877
214	1861
215	1739
216	1706
217	1718
218	1858
219	1872
220	1743
221	1890
222	1708
223	1851
224	1887
225	1709
226	1897
227	1732
228	1601
229	1710
230	1618
231	1730
232	1789
233	1521
234	1790
235	1637
236	1751
237	1910
238	1750
239	1715
240	1744
241	1799
242	1647
