congress,name,id,cs1,cs2,party,statecode,state,district
93,YOUNG (GA.),14066,0.261,-0.053,200,81,AK,1
94,YOUNG (ALASKA),14066,0.261,-0.053,200,81,AK,1
95,YOUNG (ALASKA),14066,0.261,-0.053,200,81,AK,1
96,"YOUNG, D.",14066,0.261,-0.053,200,81,AK,1
97,"YOUNG, D.",14066,0.261,-0.053,200,81,AK,1
98,"YOUNG, D.",14066,0.261,-0.053,200,81,AK,1
99,"YOUNG, D.",14066,0.261,-0.053,200,81,AK,1
100,"YOUNG, D.",14066,0.261,-0.053,200,81,AK,1
101,"Young, Don [AK-98]",14066,0.261,-0.053,200,81,AK,1
102,"Young, Don [AK-98]",14066,0.261,-0.053,200,81,AK,1
103,"Young, Don [AK-98]",14066,0.261,-0.053,200,81,AK,1
104,"Young, Don [AK]",14066,0.261,-0.053,200,81,AK,1
105,"Young, Don [AK]",14066,0.261,-0.053,200,81,AK,1
106,"Young, Don [AK]",14066,0.261,-0.053,200,81,AK,1
107,"Young, Don [AK]",14066,0.261,-0.053,200,81,AK,1
108,"Young, Don [AK]",14066,0.261,-0.053,200,81,AK,1
93,EDWARDS (ALA.),10721,0.256,0.059,200,41,AL,1
94,EDWARDS (ALA.),10721,0.256,0.059,200,41,AL,1
95,EDWARDS (ALA.),10721,0.256,0.059,200,41,AL,1
96,"EDWARDS, J.",10721,0.256,0.059,200,41,AL,1
97,"EDWARDS, J.",10721,0.256,0.059,200,41,AL,1
98,"EDWARDS, J.",10721,0.256,0.059,200,41,AL,1
99,CALLAHAN,15090,0.358,0.132,200,41,AL,1
100,CALLAHAN,15090,0.358,0.132,200,41,AL,1
101,"Callahan, Sonny [AL-1]",15090,0.358,0.132,200,41,AL,1
102,"Callahan, Sonny [AL-1]",15090,0.358,0.132,200,41,AL,1
103,"Callahan, Sonny [AL-1]",15090,0.358,0.132,200,41,AL,1
104,"Callahan, Sonny [AL-1]",15090,0.358,0.132,200,41,AL,1
105,"Callahan, Sonny [AL-1]",15090,0.358,0.132,200,41,AL,1
106,"Callahan, Sonny [AL-1]",15090,0.358,0.132,200,41,AL,1
107,"Callahan, Sonny [AL-1]",15090,0.358,0.132,200,41,AL,1
108,"Bonner, Jo [AL-1]",20300,0.431,-0.304,200,41,AL,1
93,DICKINSON,10717,0.37,-0.016,200,41,AL,2
94,DICKINSON,10717,0.37,-0.016,200,41,AL,2
95,DICKINSON,10717,0.37,-0.016,200,41,AL,2
96,DICKINSON,10717,0.37,-0.016,200,41,AL,2
97,DICKINSON,10717,0.37,-0.016,200,41,AL,2
98,DICKINSON,10717,0.37,-0.016,200,41,AL,2
99,DICKINSON,10717,0.37,-0.016,200,41,AL,2
100,DICKINSON,10717,0.37,-0.016,200,41,AL,2
101,"Dickinson, William L. [AL-2]",10717,0.37,-0.016,200,41,AL,2
102,"Dickinson, William L. [AL-2]",10717,0.37,-0.016,200,41,AL,2
103,"Everett, Terry [AL-2]",29300,0.426,0.318,200,41,AL,2
104,"Everett, Terry [AL-2]",29300,0.426,0.318,200,41,AL,2
105,"Everett, Terry [AL-2]",29300,0.426,0.318,200,41,AL,2
106,"Everett, Terry [AL-2]",29300,0.426,0.318,200,41,AL,2
107,"Everett, Terry [AL-2]",29300,0.426,0.318,200,41,AL,2
108,"Everett, Terry [AL-2]",29300,0.426,0.318,200,41,AL,2
93,NICHOLS,11037,0.053,0.698,100,41,AL,3
94,NICHOLS,11037,0.053,0.698,100,41,AL,3
95,NICHOLS,11037,0.053,0.698,100,41,AL,3
96,NICHOLS,11037,0.053,0.698,100,41,AL,3
97,NICHOLS,11037,0.053,0.698,100,41,AL,3
98,NICHOLS,11037,0.053,0.698,100,41,AL,3
99,NICHOLS,11037,0.053,0.698,100,41,AL,3
100,NICHOLS,11037,0.053,0.698,100,41,AL,3
