congress,name,id,cs1,cs2,party
93,ABOUREZK,13000,-0.613,0.197,100
93,AIKEN,52,0.018,-0.435,200
93,ALLEN,12100,0.152,0.716,100
93,BAKER,11200,0.256,-0.455,200
93,BARTLETT,14100,0.42,-0.009,200
93,BAYH,10800,-0.402,0.008,100
93,BEALL,12002,0.137,-0.507,200
93,BELLMON,12101,0.258,-0.42,200
93,BENNETT,645,0.406,-0.275,200
93,BENTSEN,660,-0.103,0.402,100
93,BIBLE,688,-0.146,0.479,100
93,BIDEN,14101,-0.335,-0.003,100
93,BROCK,10571,0.354,-0.214,200
93,BROOKE,11201,-0.201,-0.705,200
93,BUCKLEY,13100,0.47,-0.403,112
93,BURDICK,1252,-0.377,0.337,100
93,BYRD (VA.),10802,0.192,0.678,328
93,CANNON,1482,-0.174,0.421,100
93,CASE,1569,-0.143,-0.65,200
93,CHILES,13101,-0.175,0.422,100
93,CHURCH,1721,-0.364,0.223,100
93,CLARK,14102,-0.54,-0.083,100
93,COOK,12102,0.089,-0.336,200
93,COTTON,2087,0.354,-0.294,200
93,CRANSTON,12103,-0.43,-0.159,100
93,CURTIS,2267,0.483,0.072,200
93,DOLE,10513,0.33,-0.24,200
93,DOMENICI,14103,0.246,-0.226,200
93,DOMINICK,10514,0.333,-0.369,200
93,EAGLETON,12104,-0.369,0.151,100
93,EASTLAND,2822,0.114,0.741,100
93,ERVIN,2987,0.056,0.741,100
93,FANNIN,10804,0.486,0.016,200
93,FONG,3255,0.086,-0.467,200
93,FULBRIGHT,3388,-0.226,0.626,100
93,GRAVEL,12105,-0.307,0.016,100
93,GURNEY,10593,0.352,0.072,200
93,HANSEN,11202,0.496,-0.072,200
93,HART,4148,-0.512,-0.288,100
93,HARTKE,4154,-0.408,0.156,100
93,HASKELL,14104,-0.4,0.239,100
93,HATFIELD,11203,-0.045,-0.692,200
93,HATHAWAY,10736,-0.472,0.018,100
93,HELMS,14105,0.656,0.421,200
93,HOLLINGS,11204,-0.18,0.62,100
93,HRUSKA,4660,0.455,-0.05,200
93,HUDDLESTON,14106,-0.26,0.45,100
93,HUGHES,12106,-0.536,0.12,100
93,HUMPHREY,4728,-0.48,-0.072,100
93,INOUYE,4812,-0.321,0.123,100
93,JACKSON,4851,-0.35,0.007,100
93,JAVITS,4898,-0.223,-0.664,200
93,JOHNSTON,14107,-0.123,0.6,100
93,KENNEDY,10808,-0.473,-0.316,100
93,LONG,5767,-0.1,0.675,100
93,MAGNUSON,5913,-0.369,0.034,100
93,MATHIAS,10535,-0.117,-0.712,200
93,MCCLURE,11029,0.486,0.049,200
93,MCGEE,6249,-0.287,0.107,100
93,MCGOVERN,6256,-0.537,0.139,100
93,MCINTYRE,10810,-0.271,0.005,100
93,METCALF,6442,-0.472,0.265,100
93,METZENBAUM,14073,-0.521,-0.221,100
93,MONDALE,10813,-0.47,-0.175,100
93,MONTOYA,6611,-0.273,0.263,100
93,NELSON,10816,-0.569,0.04,100
93,NUNN,14108,-0.085,0.515,100
93,PACKWOOD,12107,0.056,-0.704,200
93,PASTORE,7229,-0.303,-0.156,100
93,PEARSON,10817,0.12,-0.416,200
93,PELL,10818,-0.384,-0.246,100
93,PERCY,11205,0.006,-0.682,200
93,PROXMIRE,7638,-0.427,0.164,100
93,RANDOLPH,7722,-0.223,0.263,100
93,RIBICOFF,7847,-0.344,-0.243,100
93,ROTH,11044,0.248,-0.417,200
93,SAXBE,12108,0.137,-0.661,200
93,SCHWEIKER,10557,-0.002,-0.513,200
93,SCOTT (VA.),11048,0.464,0.38,200
93,STAFFORD,10562,-0.001,-0.579,200
93,STENNIS,8883,0.05,0.691,100
93,STEVENS,12109,0.197,-0.38,200
93,STEVENSON,13102,-0.382,-0.127,100
93,SYMINGTON,9141,-0.313,0.178,100
93,TAFT,10630,0.218,-0.657,200
93,TOWER,10823,0.463,-0.133,200
93,TUNNEY,10777,-0.347,-0.102,100
93,WEICKER,12032,-0.062,-0.708,200
93,WILLIAMS,10147,-0.379,-0.255,100
93,YOUNG,10450,0.204,0.239,200
94,ABOUREZK,13000,-0.613,0.197,100
94,ALLEN,12100,0.152,0.716,100
94,BAKER,11200,0.256,-0.455,200
94,BARTLETT,14100,0.42,-0.009,200
94,BAYH,10800,-0.402,0.008,100
94,BEALL,12002,0.137,-0.507,200
94,BELLMON,12101,0.258,-0.42,200
94,BENTSEN,660,-0.103,0.402,100
94,BIDEN,14101,-0.335,-0.003,100
94,BROCK,10571,0.354,-0.214,200
94,BROOKE,11201,-0.201,-0.705,200
94,BUCKLEY,13100,0.47,-0.403,112
94,BUMPERS,14300,-0.322,0.341,100
94,BURDICK,1252,-0.377,0.337,100
94,BYRD (VA.),10802,0.192,0.678,328
94,CANNON,1482,-0.174,0.421,100
94,CASE,1569,-0.143,-0.65,200
94,CHILES,13101,-0.175,0.422,100
94,CHURCH,1721,-0.364,0.223,100
94,CLARK,14102,-0.54,-0.083,100
94,CRANSTON,12103,-0.43,-0.159,100
94,CULVER,10715,-0.403,-0.217,100
94,CURTIS,2267,0.483,0.072,200
94,DOMENICI,14103,0.246,-0.226,200
94,DURKIN,14310,-0.371,0.059,100
94,EAGLETON,12104,-0.369,0.151,100
94,EASTLAND,2822,0.114,0.741,100
94,FANNIN,10804,0.486,0.016,200
94,FONG,3255,0.086,-0.467,200
94,FORD,14302,-0.191,0.592,100
94,GARN,14303,0.503,-0.156,200
94,GLENN,14304,-0.281,-0.018,100
94,GRAVEL,12105,-0.307,0.016,100
94,HANSEN,11202,0.496,-0.072,200
94,HART (COLO.),14305,-0.43,0.005,100
94,HART (MICH.),4148,-0.512,-0.288,100
94,HARTKE,4154,-0.408,0.156,100
94,HASKELL,14104,-0.4,0.239,100
94,HATFIELD,11203,-0.045,-0.692,200
94,HATHAWAY,10736,-0.472,0.018,100
94,HELMS,14105,0.656,0.421,200
94,HOLLINGS,11204,-0.18,0.62,100
94,HRUSKA,4660,0.455,-0.05,200
94,HUDDLESTON,14106,-0.26,0.45,100
94,HUMPHREY,4728,-0.48,-0.072,100
94,INOUYE,4812,-0.321,0.123,100
94,JACKSON,4851,-0.35,0.007,100
94,JAVITS,4898,-0.223,-0.664,200
94,JOHNSTON,14107,-0.123,0.6,100
94,KENNEDY,10808,-0.473,-0.316,100
94,LAXALT,14077,0.48,-0.156,200
94,LEAHY,14307,-0.377,-0.098,100
94,LONG,5767,-0.1,0.675,100
94,MAGNUSON,5913,-0.369,0.034,100
94,MATHIAS,10535,-0.117,-0.712,200
94,MCCLURE,11029,0.486,0.049,200
94,MCGEE,6249,-0.287,0.107,100
94,MCGOVERN,6256,-0.537,0.139,100
94,MCINTYRE,10810,-0.271,0.005,100
94,METCALF,6442,-0.472,0.265,100
94,MONDALE,10813,-0.47,-0.175,100
94,MONTOYA,6611,-0.273,0.263,100
94,MORGAN,14308,-0.12,0.597,100
94,NELSON,10816,-0.569,0.04,100
94,NUNN,14108,-0.085,0.515,100
94,PACKWOOD,12107,0.056,-0.704,200
94,PASTORE,7229,-0.303,-0.156,100
94,PELL,10818,-0.384,-0.246,100
94,PERCY,11205,0.006,-0.682,200
94,PROXMIRE,7638,-0.427,0.164,100
94,RANDOLPH,7722,-0.223,0.263,100
94,RIBICOFF,7847,-0.344,-0.243,100
94,ROTH,11044,0.248,-0.417,200
94,SCHWEIKER,10557,-0.002,-0.513,200
94,SCOTT (VA.),11048,0.464,0.38,200
94,SPARKMAN,8764,-0.188,0.613,100
94,STAFFORD,10562,-0.001,-0.579,200
94,STENNIS,8883,0.05,0.691,100
94,STEVENS,12109,0.197,-0.38,200
94,STEVENSON,13102,-0.382,-0.127,100
94,STONE,14309,-0.097,0.309,100
94,SYMINGTON,9141,-0.313,0.178,100
94,TAFT,10630,0.218,-0.657,200
94,TOWER,10823,0.463,-0.133,200
94,TUNNEY,10777,-0.347,-0.102,100
94,WEICKER,12032,-0.062,-0.708,200
94,WILLIAMS,10147,-0.379,-0.255,100
94,YOUNG,10450,0.204,0.239,200
95,ABOUREZK,13000,-0.613,0.197,100
95,ALLEN,12100,0.152,0.716,100
95,ALLEN (MARYON),14517,0.149,0.376,100
95,ANDERSON,14513,-0.45,0.05,100
95,BARTLETT,14100,0.42,-0.009,200
95,BAYH,10800,-0.402,0.008,100
95,BELLMON,12101,0.258,-0.42,200
95,BENTSEN,660,-0.103,0.402,100
95,BIDEN,14101,-0.335,-0.003,100
95,BROOKE,11201,-0.201,-0.705,200
95,BUMPERS,14300,-0.322,0.341,100
95,BURDICK,1252,-0.377,0.337,100
95,BYRD (VA.),10802,0.192,0.678,328
95,CANNON,1482,-0.174,0.421,100
95,CASE,1569,-0.143,-0.65,200
95,CHAFEE,14500,0.003,-0.785,200
95,CHILES,13101,-0.175,0.422,100
95,CHURCH,1721,-0.364,0.223,100
95,CLARK,14102,-0.54,-0.083,100
95,CULVER,10715,-0.403,-0.217,100
95,CURTIS,2267,0.483,0.072,200
95,DANFORTH,14501,0.143,-0.59,200
95,DECONCINI,14502,-0.153,0.46,100
95,DOMENICI,14103,0.246,-0.226,200
95,DURKIN,14310,-0.371,0.059,100
95,EAGLETON,12104,-0.369,0.151,100
95,EASTLAND,2822,0.114,0.741,100
95,GARN,14303,0.503,-0.156,200
95,GLENN,14304,-0.281,-0.018,100
95,GRAVEL,12105,-0.307,0.016,100
95,GRIFFIN,3824,0.236,-0.586,200
95,HART,14305,-0.43,0.005,100
95,HASKELL,14104,-0.4,0.239,100
95,HATCH,14503,0.38,-0.059,200
95,HATFIELD,11203,-0.045,-0.692,200
95,HATFIELD (MONT.),14515,-0.261,0.428,100
95,HATHAWAY,10736,-0.472,0.018,100
95,HAYAKAWA,14504,0.387,-0.526,200
95,HEINZ,13050,0.018,-0.625,200
95,HELMS,14105,0.656,0.421,200
95,HODGES,14514,-0.28,0.54,100
95,HOLLINGS,11204,-0.18,0.62,100
95,HUDDLESTON,14106,-0.26,0.45,100
95,HUMPHREY,4728,-0.48,-0.072,100
95,HUMPHREY (MURIEL),14516,-0.454,-0.088,100
95,INOUYE,4812,-0.321,0.123,100
95,JACKSON,4851,-0.35,0.007,100
95,JAVITS,4898,-0.223,-0.664,200
95,JOHNSTON,14107,-0.123,0.6,100
95,KENNEDY,10808,-0.473,-0.316,100
95,LAXALT,14077,0.48,-0.156,200
95,LEAHY,14307,-0.377,-0.098,100
95,LONG,5767,-0.1,0.675,100
95,LUGAR,14506,0.29,-0.502,200
95,MATHIAS,10535,-0.117,-0.712,200
95,MATSUNAGA,10605,-0.414,0.034,100
95,MCCLURE,11029,0.486,0.049,200
95,MCGOVERN,6256,-0.537,0.139,100
95,MCINTYRE,10810,-0.271,0.005,100
95,MELCHER,12039,-0.29,0.361,100
95,METCALF,6442,-0.472,0.265,100
95,METZENBAUM,14073,-0.521,-0.221,100
95,MORGAN,14308,-0.12,0.597,100
95,MOYNIHAN,14508,-0.341,-0.242,100
95,NELSON,10816,-0.569,0.04,100
95,NUNN,14108,-0.085,0.515,100
95,PACKWOOD,12107,0.056,-0.704,200
95,PELL,10818,-0.384,-0.246,100
95,PERCY,11205,0.006,-0.682,200
95,PROXMIRE,7638,-0.427,0.164,100
95,RIBICOFF,7847,-0.344,-0.243,100
95,RIEGLE,11043,-0.406,-0.032,100
95,ROTH,11044,0.248,-0.417,200
95,SARBANES,13039,-0.437,-0.099,100
95,SASSER,14509,-0.3,0.467,100
95,SCHMITT,14510,0.309,-0.372,200
95,SCHWEIKER,10557,-0.002,-0.513,200
95,SCOTT,11048,0.464,0.38,200
95,SPARKMAN,8764,-0.188,0.613,100
95,STENNIS,8883,0.05,0.691,100
95,STEVENSON,13102,-0.382,-0.127,100
95,STONE,14309,-0.097,0.309,100
95,WALLOP,14511,0.577,-0.314,200
95,WEICKER,12032,-0.062,-0.708,200
95,WILLIAMS,10147,-0.379,-0.255,100
95,YOUNG,10450,0.204,0.239,200
95,ZORINSKY,14512,0.019,0.716,100
96,ARMSTRONG,14002,0.515,-0.092,200
96,BAUCUS,14203,-0.219,0.2,100
96,BAYH,10800,-0.402,0.008,100
96,BELLMON,12101,0.258,-0.42,200
96,BENTSEN,660,-0.103,0.402,100
96,BIDEN,14101,-0.335,-0.003,100
96,BOREN,14700,-0.069,0.552,100
96,BOSCHWITZ,14701,0.202,-0.582,200
96,BRADLEY,14702,-0.374,-0.377,100
96,BUMPERS,14300,-0.322,0.341,100
96,BURDICK,1252,-0.377,0.337,100
96,"BYRD, H.",10802,0.192,0.678,328
96,CANNON,1482,-0.174,0.421,100
96,CHAFEE,14500,0.003,-0.785,200
96,CHILES,13101,-0.175,0.422,100
96,CHURCH,1721,-0.364,0.223,100
96,COCHRAN,14009,0.266,-0.043,200
96,COHEN,14010,0.048,-0.586,200
96,CULVER,10715,-0.403,-0.217,100
96,DANFORTH,14501,0.143,-0.59,200
96,DECONCINI,14502,-0.153,0.46,100
96,DOLE,10513,0.33,-0.24,200
96,DOMENICI,14103,0.246,-0.226,200
96,DURENBERGER,14703,0.047,-0.67,200
96,DURKIN,14310,-0.371,0.059,100
96,EAGLETON,12104,-0.369,0.151,100
96,EXON,14704,-0.127,0.618,100
96,"FORD, W. H.",14302,-0.191,0.592,100
96,GARN,14303,0.503,-0.156,200
96,GLENN,14304,-0.281,-0.018,100
96,GOLDWATER,3658,0.605,-0.172,200
96,GRAVEL,12105,-0.307,0.016,100
96,HART,14305,-0.43,0.005,100
96,HATCH,14503,0.38,-0.059,200
96,HATFIELD,11203,-0.045,-0.692,200
96,HAYAKAWA,14504,0.387,-0.526,200
96,HEFLIN,14705,-0.013,0.701,100
96,HEINZ,13050,0.018,-0.625,200
96,HOLLINGS,11204,-0.18,0.62,100
96,HUDDLESTON,14106,-0.26,0.45,100
96,HUMPHREY,14706,0.605,0.106,200
96,INOUYE,4812,-0.321,0.123,100
96,JACKSON,4851,-0.35,0.007,100
96,JEPSEN,14707,0.303,-0.014,200
96,JOHNSTON,14107,-0.123,0.6,100
96,KASSEBAUM,14708,0.147,-0.555,200
96,LAXALT,14077,0.48,-0.156,200
96,LEAHY,14307,-0.377,-0.098,100
96,LEVIN,14709,-0.4,0.002,100
96,"LONG, R.",5767,-0.1,0.675,100
96,LUGAR,14506,0.29,-0.502,200
96,MATHIAS,10535,-0.117,-0.712,200
96,MATSUNAGA,10605,-0.414,0.034,100
96,MCCLURE,11029,0.486,0.049,200
96,MCGOVERN,6256,-0.537,0.139,100
96,MELCHER,12039,-0.29,0.361,100
96,METZENBAUM,14073,-0.521,-0.221,100
96,MITCHELL,14713,-0.35,-0.014,100
96,MORGAN,14308,-0.12,0.597,100
96,MOYNIHAN,14508,-0.341,-0.242,100
96,"NELSON, G.",10816,-0.569,0.04,100
96,NUNN,14108,-0.085,0.515,100
96,PACKWOOD,12107,0.056,-0.704,200
96,PELL,10818,-0.384,-0.246,100
96,PERCY,11205,0.006,-0.682,200
96,PRESSLER,14268,0.221,-0.035,200
96,PROXMIRE,7638,-0.427,0.164,100
96,PRYOR,10791,-0.239,0.464,100
96,RIBICOFF,7847,-0.344,-0.243,100
96,RIEGLE,11043,-0.406,-0.032,100
96,ROTH,11044,0.248,-0.417,200
96,SARBANES,13039,-0.437,-0.099,100
96,SASSER,14509,-0.3,0.467,100
